id,ho_ten,lop,ngay_sinh,tuoi,gioi_tinh,hang
41,Phạm Hữu Vy,10A1,01/07/2009,15.0,Nam,Khá
67,Siu Thành Cường,10A2,25/05/2008,16.0,Nam,Khá
17,Vũ Long,11a2,,,Nữ,Giỏi
131,Trần Bình,10A1,09/09/2008,16.0,Nam,Yếu
54,Trần Thành Phúc,11A1,07/07/2008,16.0,Nam,Giỏi
6,Nguyễn Thị Yến,10A1,03/07/2008,16.0,Nam,Khá
15,Đỗ Long,10A1,02/02/2007,17.0,Nữ,Trung bình
108,Rơ Chăm An,10A3,21/05/2008,16.0,Nữ,Yếu
36,Hoàng Nam,10A3,17/06/2007,17.0,Nữ,Giỏi
92,Phạm Giang,10A3,18/11/2008,16.0,Nữ,Yếu
49,Phạm Minh Hà,10A1,24/03/2007,17.0,Nữ,Khá
75,Lê Thị Duy,11A1,15/04/2009,15.0,Nữ,Khá
78,Vũ Ngọc An,10A1,03/10/2009,15.0,Nữ,Trung bình
74,Lê Kiên,12A1,12/08/2008,16.0,Nữ,Khá
45,Lê Minh An,12A1,08/06/2009,15.0,Nam,Giỏi
121,Trần Kiên,11A2,03/04/2008,16.0,Nữ,Trung bình
32,Phạm Lan,10A2,,,Nam,Giỏi
30,Hoàng An,12A1,01/04/2008,16.0,Nữ,Khá
34,A Hữu Em,11A1,13/01/2009,15.0,Nữ,Yếu
55,Nguyễn Minh Giang,11A1,13/06/2009,15.0,Nam,Giỏi
128,Kpuih Quân,10A1,23/02/2008,16.0,Nữ,Trung bình
90,Siu Thị Mai,12A1,25/01/2007,17.0,Nữ,Khá
20,Đinh Thị Thị Tú,10A1,,,Nữ,Trung bình
43,Kpuih Hữu Lan,10A2,14/06/2007,17.0,Nữ,Giỏi
99,Đinh Thị Thị Sơn,10a2,16/09/2008,45.0,Nữ,Giỏi
139,Nguyễn Ngọc Quân,10A1,17/12/2009,15.0,Nữ,Trung bình
124,  Trần Sơn  ,11A2,19/12/2008,16.0,Nữ,Khá
117,Kpuih Văn Em,11A1,16/02/2009,15.0,Nữ,Yếu
95,Vũ Minh Quân,11A2,25/03/2008,16.0,Nữ,Khá
46,Rơ Chăm Thị Uyên,11A2,17/12/2007,17.0,Nam,Yếu
29,Siu Sơn,10a3,28/05/2007,17.0,Nữ,
110,Bùi Đức Yến,12A1,23/12/2009,15.0,Nam,Trung bình
104,Siu Thành Sơn,11a1,04/10/2007,17.0,Nam,Khá
98,Siu Cường,12A1,01/05/2009,15.0,Nữ,Yếu
18,Phạm Văn Bình,10A2,05/10/2009,15.0,Nam,Trung bình
94,Lê Hữu Uyên,11A2,08/11/2007,,Nữ,Yếu
101,Nguyễn Minh Quân,11A2,,,Nam,Giỏi
133,Nguyễn Sơn,11A2,,,Nữ,Khá
70,Đinh Thị Hữu Oanh,12A1,24/05/2007,17.0,Nữ,Trung bình
19,  Đinh Yến  ,10A2,12/08/2007,17.0,Nam,Giỏi
5,Trần Lan,11A1,09/12/2007,17.0,Nam, khá
52,Vũ Thị An,10A1,19/09/2009,15.0,Nam,Yếu
40,Ksor Lan,10A3,10/04/2009,15.0,Nữ,Khaa
37,Đỗ Ngọc Tú,10A1,,,Nữ,Khá
113,Hoàng Đức Nam,11A2,22/05/2007,17.0,Nam,Giỏi
137,Ksor Đức Nam,10A2,26/08/2009,,Nữ,Giỏi
103,Bùi Thị Lan,10A2,11/02/2009,15.0,Nữ,
86,Đỗ Thành Nam,10A3,18/08/2008,16.0,Nam,Giỏi
60,Bùi Thị Phúc,11A2,23/04/2009,15.0,Nữ,Khá
140,Ksor Giang,11A1,23/08/2007,17.0,Nữ,Trung bình
