hoc_sinh,mon_hoc,diem
Trần Văn Tài,toan,7.2
A Quang,van,5.0
Đỗ Thị Oanh,hoa,7.7
Kpuih Phúc,van,6.6
Phạm Thị Duyên,van,5.8
A Quang,hoa,6.3
Phạm Thị Duyên,anh,6.0
Đinh Thị Giang,hoa,8.5
Bùi Thị Kim,van,8.0
Siu H'Mai,van,7.5
Nguyễn Thị Sương,hoa,7.6
A Quang,van,7.3
Trần Văn Tài,van,7.3
Hoàng Văn Em,anh,6.6
Vũ Văn Hải,van,5.9
Nguyễn Thị Sương,anh,3.3
Bùi Thị Kim,hoa,6.8
Nguyễn Văn An,hoa,7.4
Bùi Thị Kim,hoa,8.3
A Quang,van,4.8
Trần Văn Tài,anh,8.3
Lê Minh Cường,hoa,5.7
Siu H'Mai,toan,9.6
Đinh Thị Giang,van,6.8
Đỗ Thị Oanh,anh,6.6
Ksor Nam,anh,6.2
Trần Văn Tài,hoa,6.8
Trần Thị Bình,toan,8.3
Nguyễn Văn An,anh,4.3
Nguyễn Văn An,toan,9.0
A Quang,anh,7.7
Hoàng Văn Em,van,5.8
Vũ Văn Hải,anh,7.4
Đinh Thị Giang,van,8.5
Vũ Văn Hải,hoa,7.5
Nguyễn Thị Sương,hoa,7.0
Trần Văn Tài,van,3.9
Nguyễn Văn An,anh,7.3
A Quang,anh,6.7
Hoàng Văn Em,van,6.1
Ksor Nam,toan,9.3
Bùi Thị Kim,van,8.3
Bùi Thị Kim,toan,6.5
Nguyễn Văn An,van,7.9
Nguyễn Thị Sương,anh,4.7
Nguyễn Văn An,van,8.2
Đinh Thị Giang,hoa,5.4
Lê Minh Cường,anh,6.5
Bùi Thị Kim,anh,6.4
Siu H'Mai,anh,7.9
Trần Văn Tài,van,5.6
Ksor Nam,hoa,6.1
Đinh Thị Giang,anh,6.3
Trần Văn Tài,anh,7.3
Trần Văn Tài,hoa,7.3
A Quang,anh,6.6
Vũ Văn Hải,hoa,4.4
Vũ Văn Hải,anh,7.4
Nguyễn Văn An,hoa,9.4
A Quang,anh,7.6
Ksor Nam,hoa,7.6
Trần Văn Tài,toan,5.1
Trần Văn Tài,anh,4.4
Đinh Thị Giang,hoa,7.9
Đỗ Thị Oanh,anh,9.2
Trần Văn Tài,van,6.7
Vũ Văn Hải,toan,7.8
Trần Văn Tài,hoa,4.8
Lê Minh Cường,toan,6.8
Nguyễn Văn An,toan,7.4
Nguyễn Văn An,van,8.4
Nguyễn Thị Sương,toan,8.4
Lê Minh Cường,anh,7.8
Siu H'Mai,hoa,6.4
Kpuih Phúc,hoa,7.7
Kpuih Phúc,toan,9.2
Đinh Thị Giang,toan,6.3
Phạm Thị Duyên,anh,4.4
Ksor Nam,toan,6.5
Đỗ Thị Oanh,toan,7.4
Hoàng Văn Em,van,8.7
Lê Minh Cường,van,6.0
Rơ Chăm Long,toan,8.8
Trần Văn Tài,toan,8.5
Đinh Thị Giang,anh,9.0
Bùi Thị Kim,van,5.5
Nguyễn Văn An,anh,6.4
Siu H'Mai,anh,8.1
Đỗ Thị Oanh,van,6.0
