hoc_sinh,toan,van,anh,hoa
Đinh Thị Giang,6.9,6.9,8.4,5.4
A Quang,8.0,4.8,6.7,6.7
A Quang,8.5,7.0,6.2,8.8
Siu H'Mai,9.1,6.1,7.9,6.4
Trần Văn Tài,7.2,7.3,,7.1
Vũ Văn Hải,5.6,5.7,6.4,4.4
Trần Văn Tài,5.1,7.3,7.8,8.1
Đinh Thị Giang,6.4,7.9,9.0,8.5
Bùi Thị Kim,5.2,4.7,7.5,8.6
Nguyễn Văn An,7.0,8.2,7.3,7.3
Nguyễn Văn An,7.4,7.3,6.4,9.4
Đỗ Thị Oanh,8.2,6.3,6.6,5.6
A Quang,7.6,5.1,6.6,8.0
Lê Minh Cường,7.7,7.7,5.5,8.0
Hoàng Văn Em,6.8,8.7,6.6,9.2
Bùi Thị Kim,7.5,8.0,6.5,6.5
Bùi Thị Kim,6.5,8.3,6.4,6.8
Trần Thị Bình,8.5,7.7,6.7,7.4
A Quang,5.2,5.0,7.6,10.0
A Quang,9.6,10.0,7.7,
Nguyễn Thị Sương,8.4,5.4,3.3,7.6
Trần Thị Bình,8.3,7.9,,8.0
Ksor Nam,7.5,5.6,6.8,5.5
Trần Văn Tài,6.5,9.5,7.3,7.5
Phạm Thị Duyên,,10.0,4.4,5.8
Đỗ Thị Oanh,8.2,6.0,6.0,7.7
Nguyễn Văn An,8.0,7.9,5.9,8.0
Hoàng Văn Em,5.4,5.8,5.7,7.4
Lê Minh Cường,6.5,5.8,7.0,5.7
Phạm Thị Duyên,6.3,6.6,6.3,5.7
Nguyễn Văn An,5.4,8.4,4.3,7.4
Nguyễn Thị Sương,6.0,6.1,4.7,7.0
Đinh Thị Giang,6.3,8.4,6.3,5.6
Ksor Nam,5.4,8.2,7.7,6.5
Kpuih Phúc,9.2,7.3,6.6,7.7
Trần Văn Tài,5.6,7.1,5.5,7.7
Hoàng Văn Em,7.8,6.9,8.4,6.1
Đinh Thị Giang,7.7,6.8,5.5,7.9
Trần Thị Bình,9.2,10.0,7.1,7.6
Trần Văn Tài,9.2,5.6,9.0,4.8
Bùi Thị Kim,5.5,6.7,6.5,8.3
Lê Minh Cường,5.6,6.8,6.5,7.2
Vũ Văn Hải,7.8,8.2,7.4,7.5
Vũ Văn Hải,7.1,5.0,4.6,7.5
Lê Minh Cường,5.2,6.0,7.3,6.5
Phạm Thị Duyên,6.0,5.8,7.0,8.9
Trần Văn Tài,4.8,6.7,8.3,7.3
Kpuih Phúc,6.2,7.0,7.5,8.3
Vũ Văn Hải,4.9,5.9,7.4,7.6
Ksor Nam,7.3,,8.1,7.6
Hoàng Văn Em,10.0,6.1,6.5,5.1
A Quang,7.8,7.3,6.8,5.5
Siu H'Mai,9.6,7.5,8.1,5.3
Đỗ Thị Oanh,7.4,7.7,9.2,7.8
Nguyễn Thị Sương,8.4,5.0,6.7,7.1
Kpuih Phúc,6.9,6.6,6.6,8.7
Ksor Nam,6.5,8.0,7.9,6.5
Trần Văn Tài,7.2,3.9,6.2,8.4
Kpuih Phúc,6.2,4.3,8.3,5.3
Rơ Chăm Long,8.8,7.0,5.3,6.1
Nguyễn Văn An,9.0,7.2,6.9,7.2
Lê Minh Cường,6.8,6.2,7.8,8.9
Đinh Thị Giang,7.1,9.1,8.4,5.0
Trần Văn Tài,7.9,8.7,4.4,6.3
Nguyễn Văn An,,5.8,7.0,6.5
Trần Văn Tài,5.7,6.7,6.3,6.8
Lê Minh Cường,6.8,6.0,5.8,6.0
Bùi Thị Kim,7.5,5.5,8.6,5.7
Ksor Nam,9.3,6.5,6.2,6.1
Phạm Thị Duyên,7.5,7.1,5.7,7.1
